Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
605.mcf_s-994B,double,0.20011,20526106,8523049,2289,612997,1
620.omnetpp_s-141B,double,0.2357,8328364,3365833,457466,858723,1
623.xalancbmk_s-10B,double,0.33155,11382083,5529784,61869,11623,1
607.cactuBSSN_s-2421B,double,1.25573,3954732,76661,11,23,1
619.lbm_s-2677B,double,0.37291,32841148,422833,17752713,9179413,1
628.pop2_s-17B,double,1.14374,2185889,57402,648473,407393,1
649.fotonik3d_s-10881B,double,0.50879,20116840,3751381,1,4742906,1
654.roms_s-1007B,double,0.71595,4106881,76840,799000,752757,1
cassandra_phase0_core0,double,0.3784,1452894,386047,72920,159975,1
cloud9_phase5_core2,double,0.14408,1394535,620844,26651,139267,1
nutch_phase0_core0,double,0.33071,707349,49574,41906,204852,1
streaming_phase1_core0,double,0.22462,651434,107752,119537,27028,1
